username, created_at, lng, lat, text
FeatherC1, Wed Jan 27 04:39:56 +0000 2021, -93.361321, 46.441861, @kmse82269 @DonaldJTrumpJr @RandPaul Then Biden was also chosen by God, all part of God's plan right? Or are you su… https://t.co/vinZTQaN2T 
mgcarla1, Wed Jan 27 04:40:06 +0000 2021, -46.422691, -23.710769, @AbertasEscolas 
sengkim123, Wed Jan 27 04:40:08 +0000 2021, 100.609026, 13.837046, https://t.co/JMdnYDmdrN 
dandl3, Wed Jan 27 04:40:14 +0000 2021, -83.173867, 32.678207, Thank you Texas!!! 
vic_tracy, Wed Jan 27 04:40:23 +0000 2021, -76.517722, 39.360546, Another story you won't see on @CNN @Morning_Joe @MSNBC @CNNSitRoom @jaketapper @wolfblitzer @cnndonlemon @AC360… https://t.co/FalwejxBhN 
hnkns, Wed Jan 27 04:40:25 +0000 2021, -84.051862, 36.112791, This is incredible news. Private, for-profit prisons are an unmitigated evil. 
laurenskool, Wed Jan 27 04:40:36 +0000 2021, -110.044783, 46.679800, https://t.co/FM8fYwyWSc 
turxusa, Wed Jan 27 04:40:42 +0000 2021, -68.984705, 45.188407, Reis bizimkiler de 550 binlik var :) çok mütevazisin ... 
Piqui0990, Wed Jan 27 04:40:44 +0000 2021, -71.581085, 41.843131, 😂😂😂 
GuillermoGMx, Wed Jan 27 04:41:06 +0000 2021, -100.168717, 25.778679, 《El fracaso en algún punto de la vida es inevitable, pero darse por vencido es imperdonable 》Joe BidenConvención Demócrata de 2008 
GAGRL1960, Wed Jan 27 04:41:06 +0000 2021, -84.578994, 33.551151, I’ve experienced some of that in Ga. 
mahjonggirl, Wed Jan 27 04:41:08 +0000 2021, -77.014398, 38.898603, Biden was not legally elected. 
realsmartsafari, Wed Jan 27 04:41:29 +0000 2021, -72.545584, 42.113062, @RubinReport “I like to talk about ideas, not people”-Dave Rubin.  “I don’t like Kamala Harris. Joe Biden has Demen… https://t.co/1CKl3RwkDH 
tyler16088, Wed Jan 27 04:41:33 +0000 2021, -92.436774, 38.304558, @secupp Shut up.  You are down this road after you started kissing Biden's ass. 
AquariusinAZ, Wed Jan 27 04:41:41 +0000 2021, -112.124676, 33.552863, @Eiggam5955 It's mixed. I'm somewhat assured by Biden's actions but disappointed about the continued obstructionism… https://t.co/u0VX7cj3ke 
SandraH55299000, Wed Jan 27 04:41:50 +0000 2021, -120.862479, 37.499596, @PressSec ...help our children...EO and legislation to stop gun violence in schools, stop gun violence period! Firs… https://t.co/DMP3Z7tb1G 
mgcarla1, Wed Jan 27 04:41:52 +0000 2021, -46.422691, -23.710769, Melhor coisa é estudar assim no usa 
sjbftmlsc, Wed Jan 27 04:42:03 +0000 2021, -80.897350, 35.002213, @RNCResearch Uh, Biden said nobody making under 400k will get an increase. 
Shawn20768, Wed Jan 27 04:42:21 +0000 2021, -83.381166, 42.571954, Amen 
BearlyOne, Wed Jan 27 04:42:21 +0000 2021, -122.271542, 47.793024, Horrendous EO. 
laurenskool, Wed Jan 27 04:42:32 +0000 2021, -110.044783, 46.679800, https://t.co/L5738vCK8T 
Shawn20768, Wed Jan 27 04:42:44 +0000 2021, -83.381166, 42.571954, Amen 
GodfreyMuchie63, Wed Jan 27 04:42:59 +0000 2021, 28.546494, -20.144390, @MJairosi @mugwagwashonge @ABlinken @edmnangagwa @JobSikhala1 @daddyhope @MoFA_ZW Show me the letter. Don't just sp… https://t.co/spGYsRZs4O 
